Station,Calibration dataset,KGE,KGE′,RMSE,Outer50RMSE
BRW,SMAP,-0.638,-0.57,63.764,53.224
BRW,VIC,-0.759,-0.687,68.687,65.557
BRW,Noah,-0.803,-0.81,45.112,42.511
BRW,Mosaic,-0.537,-0.475,72.777,70.649
BRW,In-situ,-0.581,-0.569,40.832,48.841
BVL,SMAP,-0.618,-0.568,59.773,53.513
BVL,VIC,-0.715,-0.626,62.604,59.557
BVL,Noah,-0.81,-0.773,47.163,45.496
BVL,Mosaic,-0.616,-0.567,57.855,47.894
BVL,In-situ,-0.763,-0.738,44.216,43.557
CMI,SMAP,-0.627,-0.573,61.502,53.834
CMI,VIC,-0.768,-0.692,55.741,51.132
CMI,Noah,-0.822,-0.774,46.946,45.522
CMI,Mosaic,-0.624,-0.583,58.642,48.449
CMI,In-situ,-0.805,-0.821,46.571,42.78
DEK,SMAP,-0.436,-0.36,79.521,74.458
DEK,VIC,-0.561,-0.491,55.72,57.256
DEK,Noah,-0.68,-0.59,34.778,46.598
DEK,Mosaic,-0.416,-0.34,77.069,79.928
DEK,In-situ,-0.637,-0.594,42.659,50.525
DXS,SMAP,-0.708,-0.629,75.262,59.993
DXS,VIC,-0.788,-0.783,64.006,59.854
DXS,Noah,-0.458,-0.607,28.474,28.108
DXS,Mosaic,-0.489,-0.675,57.324,57.82
DXS,In-situ,-0.673,-0.691,26.942,22.31
FAI,SMAP,-0.658,-0.612,60.389,54.542
FAI,VIC,-0.755,-0.697,68.031,64.142
FAI,Noah,-0.867,-0.873,26.348,25.813
FAI,Mosaic,-0.592,-0.515,74.913,65.497
FAI,In-situ,-0.461,-0.471,31.123,36.105
FRE,SMAP,-0.289,-0.287,93.838,86.324
FRE,VIC,-0.703,-0.678,28.733,36.167
FRE,Noah,-0.597,-0.529,45.221,56.617
FRE,Mosaic,-0.489,-0.3,78.926,74.665
FRE,In-situ,-0.574,-0.518,52.639,62.795
FRM,SMAP,-0.685,-0.636,55.679,45.676
FRM,VIC,-0.724,-0.674,80.05,76.086
FRM,Noah,-0.818,-0.846,41.598,31.457
FRM,Mosaic,-0.636,-0.577,61.209,54.228
FRM,In-situ,-0.76,-0.75,32.541,34.602
ICC,SMAP,-0.228,-0.255,50.327,57.127
ICC,VIC,-0.629,-0.634,30.813,22.208
ICC,Noah,-0.603,-0.64,21.544,28.481
ICC,Mosaic,-0.346,-0.097,87.705,82.303
ICC,In-situ,-0.508,-0.507,42.823,52.474
LLC,SMAP,-0.687,-0.608,68.474,56.999
LLC,VIC,-0.709,-0.498,35.07,31.899
LLC,Noah,-0.827,-0.797,34.836,34.006
LLC,Mosaic,-0.546,-0.457,89.211,77.258
LLC,In-situ,-0.628,-0.358,60.97,66.069
MON,SMAP,-0.561,-0.503,79.467,72.08
MON,VIC,-0.696,-0.633,52.849,51.31
MON,Noah,-0.786,-0.725,52.167,53.607
MON,Mosaic,-0.522,-0.449,81.194,74.998
MON,In-situ,-0.649,-0.332,48.467,54.449
OLN,SMAP,-0.608,-0.538,66.231,60.641
OLN,VIC,-0.73,-0.644,63.678,63.256
OLN,Noah,-0.805,-0.761,41.126,43.04
OLN,Mosaic,-0.525,-0.311,75.721,72.373
OLN,In-situ,-0.796,-0.796,25.011,26.144
ORR,SMAP,-0.653,-0.597,57.551,48.001
ORR,VIC,-0.666,-0.664,35.068,31.752
ORR,Noah,-0.585,-0.666,56.029,51.789
ORR,Mosaic,-0.527,-0.462,68.233,61.186
ORR,In-situ,-0.429,-0.44,51.19,55.37
RND,SMAP,-0.787,-0.783,52.48,32.293
RND,VIC,-0.764,-0.843,32.545,25.237
RND,Noah,-0.415,-0.529,31.618,31.462
RND,Mosaic,-0.666,-0.634,64.434,48.335
RND,In-situ,-0.712,-0.701,52.885,44.448
SIU,SMAP,-0.776,-0.73,47.427,39.277
SIU,VIC,-0.461,-0.733,49.267,42.256
SIU,Noah,-0.487,-0.627,37.123,31.392
SIU,Mosaic,-0.574,-0.598,41.043,40.535
SIU,In-situ,-0.863,-0.869,36.926,33.033
STC,SMAP,-0.599,-0.529,54.345,52.617
STC,VIC,-0.703,-0.676,31.082,40.633
STC,Noah,-0.728,-0.678,63.514,55.298
STC,Mosaic,-0.484,-0.31,85.91,78.254
STC,In-situ,-0.767,-0.724,48.112,50.401
STE,SMAP,-0.601,-0.518,75.499,64.082
STE,VIC,-0.623,-0.546,59.976,54.623
STE,Noah,-0.728,-0.513,51.518,59.854
STE,Mosaic,-0.536,-0.45,81.945,66.439
STE,In-situ,-0.394,-0.367,51.042,51.141
